,true,optimal,linear,conditional,shift,cs,cs_shift,lasso_full,boosting,MLP_global,MLP_2D,trans_1D_T4,trans_2D_TCTC
optimal,0.04198076593985483,,,,,,,,,,,,
linear,0.01635661025420617,0.44983287893373697,,,,,,,,,,,
conditional,0.021620117937868236,0.453090708868834,-0.0016878760036377544,,,,,,,,,,
shift,0.027187956454060615,0.43924216902480806,-0.001146894324211059,0.004175514338817991,,,,,,,,,
cs,0.01640573344871613,0.4472559985955372,0.004987101139347056,0.008247986604800103,-0.011706054333918492,,,,,,,,
cs_shift,0.012434239689210863,0.4495096028536397,0.008666169739164857,0.004040853170714699,-0.00789902966689072,-0.0012592883804987865,,,,,,,
lasso_full,0.10803631270712354,0.011834415934711998,0.006427925525753271,0.005205991524375931,0.00232191828343742,0.005798686911458399,0.0067413743564176684,,,,,,
boosting,0.2553824421062452,0.021712068823021808,0.011338518145102328,0.004877816688206362,0.006154011965607003,0.007868395987447999,0.018354340050706266,0.2915078378052639,,,,,
MLP_global,0.9891017189322857,0.041457505158185484,0.015111674948243975,0.021529663812520666,0.026697436001138504,0.017512028174751636,0.011977761211867846,0.10550923386473045,0.2497698724168966,,,,
MLP_2D,0.9767160760707816,0.040665975413915964,0.015563814119925403,0.02166707511241435,0.027458230115962642,0.015465483763963271,0.010908896292118655,0.10371684440947398,0.24647078182927531,0.9664819209645292,,,
trans_1D_T4,0.9800302396196653,0.043156267995732286,0.018418513621746263,0.020916065910194293,0.027531451479613625,0.016641061007979973,0.013134499390669458,0.1072309508401291,0.2484914629931526,0.970068881800689,0.9592681933606482,,
trans_2D_TCTC,0.18817589894413816,0.17215861601140545,0.1519735096924705,0.022419093486307676,0.17388777202315925,0.03740157679739856,0.00028997342087000433,0.08175309392153689,0.08687081542604082,0.1883357633574259,0.1862631744639062,0.19339697027491315,
trans_2D_TCTCTCTC,0.39449346716240025,0.11022075685706823,0.04091715989466074,0.04622475708633651,0.11999981391202502,0.03546312157700857,0.004282588012857492,0.12164546571943062,0.14786639313700536,0.39092973924356944,0.3876254988204819,0.4021776860151651,0.45102494094678997
