,true,optimal,linear,conditional,shift,cs,cs_shift,lasso_full,boosting,MLP_global,MLP_2D,trans_1D_T4,trans_2D_TCTC
optimal,0.3001166557662785,,,,,,,,,,,,
linear,0.1483565673622919,0.4701489936120011,,,,,,,,,,,
conditional,0.1383243846285504,0.46151159786644697,0.02325173879148952,,,,,,,,,,
shift,0.13541900541084367,0.4689827039304501,0.024225877679329884,0.022817880734232236,,,,,,,,,
cs,0.12980734718863363,0.4598151077212459,0.024735573286135563,0.0164283428386335,0.012864827904040964,,,,,,,,
cs_shift,0.14473653035764933,0.4608192941043583,0.020361367327696,0.005800819005057661,0.026210175399398825,0.017485746202496308,,,,,,,
lasso_full,0.1257007243720806,0.14505810683526305,0.10803084900272171,0.02211640386108802,0.07267512845153078,0.08803304201841879,0.04612559987480822,,,,,,
boosting,0.2574514190745631,0.08476658986835664,0.04156088879894025,0.03973516860339429,0.039019253371317994,0.0416410021330273,0.0348231710964765,0.3393185598154864,,,,,
MLP_global,0.9831273193209003,0.30953889652786826,0.15283197697454254,0.13546048977954447,0.14124912342211737,0.13601652260478642,0.15298424247130757,0.1285003319316402,0.24899701351607192,,,,
MLP_2D,0.9402558847856058,0.328706886494146,0.1682869984777532,0.1319885461896161,0.1538027683774766,0.1476031034209458,0.16140322025132633,0.1308658295874976,0.2434969187280926,0.9275132962328502,,,
trans_1D_T4,0.9119962623743285,0.34213776485039565,0.1929714669502968,0.12583198423941963,0.15082114488971915,0.16513032012832432,0.15963716315604312,0.13420183725543455,0.235464454280915,0.9016442929199437,0.8689675314745586,,
trans_2D_TCTC,0.5604493853790066,0.5710428049400111,0.29584559411808053,0.2221439283735692,0.2860469312632055,0.29443446911516546,0.2273202622475591,0.14874415987742376,0.14942262210609267,0.5648136132145629,0.55795908967996,0.573632012003809,
trans_2D_TCTCTCTC,0.5303657900627151,0.6025293847495297,0.3059622512719947,0.23521315745035914,0.3056566180213443,0.32032997550045117,0.2317510092557276,0.14736630710552798,0.12780758015304447,0.5338772059714625,0.532383487467224,0.5579660022461365,0.6744363540809563
