noise_level,lasso_full,boosting,MLP_global,MLP_2D,trans_1D_T4,trans_2D_TCTC,trans_2D_TCTCTCTC
correl0.01,-0.0029102718426715266,0.002433105055711126,0.021654852411897376,0.023519068205117878,0.022729527965553078,0.04186230536223067,0.03694445733589008
correl0.03,0.01339992872416289,0.025605614792263406,0.09054192675508789,0.08960265839759553,0.08973350710434425,0.1028017952762794,0.10040333697039702
correl0.05,0.017785884658132384,0.04686640978864791,0.154680105214576,0.14501697751654946,0.15610818075934046,0.18088942466521135,0.16917100124548282
correl0.1,0.030489754159964588,0.08330003932969555,0.28889911069095964,0.25651319321424315,0.29078744938818657,0.3362808643276444,0.3060371512738872
correl0.3,0.079430971901433,0.1756219396742442,0.6678628360032106,0.6086376306160289,0.6742644634077131,0.7428520445481501,0.7031959850511278
correl0.5,0.09193558075526552,0.21741990534903866,0.8196055186037966,0.7351099397430305,0.8317179889753584,0.8924640705423909,0.8658574302091756
