,true,optimal,linear,conditional,shift,cs,cs_shift,lasso_full,boosting,MLP_global,MLP_2D,trans_1D_T4,trans_2D_TCTC
optimal,0.09326678822568626,,,,,,,,,,,,
linear,0.03371892598260281,0.4477916059882849,,,,,,,,,,,
conditional,0.04145180481181253,0.4500291309667732,0.007465260939091569,,,,,,,,,,
shift,0.0468239850456143,0.4528227897527001,0.004917306785608277,0.0006079720235396057,,,,,,,,,
cs,0.049611667557370884,0.4504959726021563,0.0012830110732213163,0.0023454227323048906,0.0038803358964609996,,,,,,,,
cs_shift,0.03748235691815564,0.4417615220679427,-0.005076931939513817,-0.002168796824870606,0.005267244056253158,-0.003181594510248124,,,,,,,
lasso_full,0.10771301193230434,0.0294846605133738,0.028016852203771026,-0.0013240832606576664,0.007324502771236353,0.023127761967786514,0.008995894592565473,,,,,,
boosting,0.25211693878023955,0.025941775478511123,0.015291176983798779,0.004717525912065599,0.014884474642279818,0.015527296730475279,0.007746597005873286,0.2880802055175553,,,,,
MLP_global,0.9889662592939071,0.0960700961871098,0.03460701341542128,0.04093645524489997,0.04943337404172552,0.050622907822469906,0.0397814430350392,0.10840275527480343,0.24909963232310942,,,,
MLP_2D,0.977157085474883,0.09111575941213798,0.03219419463871001,0.040303867659900086,0.045724272710131464,0.049712616024503394,0.03631981377309393,0.10997497254568847,0.24827817307419553,0.9668235046438951,,,
trans_1D_T4,0.9813448545066552,0.09717271431692331,0.038045536601340635,0.041463160831142244,0.048597844635128916,0.05317867739490584,0.036555480330329605,0.10807615283184022,0.25017785898554035,0.9710581942546831,0.9606330636248847,,
trans_2D_TCTC,0.9116602431444482,0.1044889530599645,0.041487951746037977,0.042291066387316,0.0585151426488427,0.05669996436416944,0.035233518934499525,0.11065637421377038,0.2457579009609903,0.9016073313082861,0.8918283161329459,0.8980435752318767,
trans_2D_TCTCTCTC,0.9381741408715539,0.10164047179402323,0.03871883400396996,0.043892042132039795,0.05107016655977446,0.058046406167624735,0.036100289128357554,0.10878674978546807,0.2372197344680127,0.9278087526063049,0.9181609030399885,0.9240694857721511,0.8680155165248196
