noise_level,lasso_full,boosting,MLP_global,MLP_2D,trans_1D_T4,trans_2D_TCTC,trans_2D_TCTCTCTC,max_linear_corr
correl0.01,0.011493055658652105,0.008695738786395159,0.029848483090991244,0.02893596459120569,0.032550356254014784,0.2027825919678494,0.15652814458684847,0.07056967961720458
correl0.03,0.011919975815534561,0.014461195147923349,0.09745821859427527,0.09669276950499511,0.09813361822085787,0.11663515167380777,0.10841358170144358,0.20841375539127313
correl0.05,0.06658797629788209,0.04774839728998672,0.17190576136953045,0.17821358998833323,0.1865586988816801,0.4267922414330037,0.4460540081029735,0.337099931231621
correl0.1,0.18565884615901249,0.09473666636870677,0.31277199166437797,0.333548931784478,0.34605090846664593,0.7870281752621313,0.7710070268339944,0.5976143046671968
correl0.3,0.30678305758777596,0.1935514115733969,0.7061186064898037,0.7515312973655969,0.7841301040483661,0.9828927201908786,0.9842482325646593,0.9890707100936805
