noise_level,d_lin,d_cond,d_shift,d_cs,d_cs_shift,d_all
correl0.01,0.24301010949920207,0.052323842184257646,0.2043419629030107,0.07751780378282726,0.010546059903982174,0.169785708907053
correl0.03,0.12696105143397063,0.09680028458073113,0.12492721546973036,0.11818379029696242,0.08298135735412786,0.10409838211681988
correl0.05,0.4299075550089162,0.3015175850453548,0.41086566108369926,0.4500787731433613,0.0467648637036019,0.3384980595377035
correl0.1,0.77443081185009,0.5199504343298817,0.6654654691588305,0.692670197000066,0.6265753642307569,0.6074731256262004
correl0.3,0.9729690895408447,0.8140406403753538,0.9824351943177653,0.970609503905871,0.9757671538792052,0.9400869922051414
