noise_level,lasso_full,boosting,MLP_global,MLP_2D,trans_1D_T4,trans_2D_TCTC,trans_2D_TCTCTCTC,max_linear_corr
correl0.01,0.022350560228677055,0.017079281159408495,0.044809508213590504,0.04527156945466339,0.0505852728647764,0.3650313987694346,0.18951170951337842,0.07056967961720458
correl0.03,0.025803284550165877,0.02229346661312545,0.09909284724134476,0.09797041871057743,0.10412763538743547,0.12419491242085817,0.10852331259834833,0.20841375539127313
correl0.05,0.04002213317553913,0.035080677216365604,0.16023916943640182,0.17089257877748454,0.1962142087930799,0.5605013522733959,0.38253831302061353,0.337099931231621
correl0.1,0.12970559528472234,0.07464984370823043,0.3113056659742282,0.3363368136230468,0.3723012706698241,0.7037284646807939,0.7331004639366382,0.5976143046671968
correl0.3,0.30713816602048516,0.19302893235485669,0.6976717475443829,0.7415875207434921,0.7888349780961023,0.9854896891221863,0.9599922054814863,0.9890707100936805
