noise_level,d_lin,d_cond,d_shift,d_cs,d_cs_shift,d_all
correl0.01,0.27323888309197664,0.07478329343100472,0.2588202941261586,0.05351893084448222,0.022834547382390814,0.1405445498386763
correl0.03,0.10957969680965311,0.0985376750542117,0.11756655619631669,0.12992964655130998,0.08936861658436486,0.11379908982313613
correl0.05,0.44414137174573215,0.27434131483636565,0.37707452569403616,0.42781150513868366,0.02552193139584647,0.3203559818846964
correl0.1,0.7281927299855562,0.57039832605561,0.6700783898124408,0.6982508124300583,0.6948715575136035,0.7031433820746542
correl0.3,0.9736391167852003,0.8025560680565142,0.9822605521317053,0.9733554765027008,0.9714295074864481,0.9377436149220315
