,true,optimal,linear,conditional,shift,cs,cs_shift,lasso_full,boosting,MLP_global,MLP_2D,trans_1D_T4,trans_2D_TCTC
optimal,0.6912684023822796,,,,,,,,,,,,
linear,0.39123827259630756,0.5678989044529847,,,,,,,,,,,
conditional,0.3916919937739165,0.5673661079137883,0.15541483548926593,,,,,,,,,,
shift,0.39138552040111274,0.5665317685553417,0.15412025562303666,0.1490152648162238,,,,,,,,,
cs,0.3916948591290128,0.5657578472682223,0.14488800456264267,0.15303993035609584,0.15114751796040593,,,,,,,,
cs_shift,0.39518974374600857,0.569535569281066,0.15318704943493522,0.1511554006690551,0.15403535002451824,0.15854989783191076,,,,,,,
lasso_full,0.2119700766437973,0.27858765317916445,0.1842884350766468,0.0742568147083178,0.15953726455132913,0.18603455989856474,0.18637439756332014,,,,,,
boosting,0.25770589913622366,0.18499439513725255,0.10944973033980898,0.09981970568073498,0.0973386967512818,0.10736528393652608,0.11086618654765662,0.596312503169155,,,,,
MLP_global,0.9868702130914656,0.7027240206871166,0.4002855391440118,0.3851644040980148,0.4023306142727885,0.4022440600140071,0.4037013679340606,0.22310435519370708,0.26106222506088245,,,,
MLP_2D,0.9557606859633699,0.7325539933194681,0.4304656356861873,0.37785659211125355,0.42829890019470057,0.4191438727168725,0.4225786667604224,0.2287502656872774,0.25035415042287607,0.9487891019541933,,,
trans_1D_T4,0.929747285602203,0.7550553630928135,0.45833880569826235,0.36653657048233823,0.4312393029792018,0.45455033311415005,0.4315327197295125,0.24022621478448059,0.241542996648669,0.9265824320535878,0.9146043641910647,,
trans_2D_TCTC,0.7277590291796506,0.9372216960540566,0.5499889888101168,0.471434246579438,0.5397743755831993,0.5555525810549014,0.5423268013550929,0.2652215315019058,0.1848907230903991,0.7384961232889452,0.7627377636495442,0.789000099710463,
trans_2D_TCTCTCTC,0.7569595645055645,0.9252125866154716,0.5352978005669655,0.4730440042285175,0.5337582327875738,0.5462180263244908,0.5367058130932457,0.27175215475151643,0.19435311332866514,0.7660403758307439,0.7859188558650081,0.8087848696018803,0.9457897575054435
