,true,optimal,linear,conditional,shift,cs,cs_shift,lasso_full,boosting,MLP_global,MLP_2D,trans_1D_T4,trans_2D_TCTC
optimal,0.15676196500753692,,,,,,,,,,,,
linear,0.07070598301313438,0.45178474272148994,,,,,,,,,,,
conditional,0.0824070760342818,0.45194512525333014,0.00515065792992708,,,,,,,,,,
shift,0.07016954456252912,0.4573924043766056,0.00914255011236386,0.018114012509950927,,,,,,,,,
cs,0.06812075754387081,0.44836914548086476,-0.004550617126209501,0.0051001539426202835,0.008200927194252576,,,,,,,,
cs_shift,0.06326902773773879,0.4522139186590211,0.008338898723115542,0.0006486707080035158,0.004879692367078553,0.0027006066962650564,,,,,,,
lasso_full,0.10588984355515274,0.03159452884930628,0.03784077028202012,0.006112545634856042,0.017681970612230532,-0.005367964195934715,0.015112575397070276,,,,,,
boosting,0.2567619770970926,0.03310158732007741,0.018609100378646777,0.02026350455180571,0.016708689027632354,0.009538200545360271,0.009824106818885214,0.2945512067049472,,,,,
MLP_global,0.9835820976471144,0.1605560054319649,0.07288127953673999,0.08029627488180956,0.07176157173718802,0.07255607243710359,0.06571773090862915,0.10804948860066056,0.25224508574114746,,,,
MLP_2D,0.9398706097707732,0.16216413352583406,0.07288557033368499,0.08015424240468223,0.07381857809757687,0.07238969068086333,0.0676017104617367,0.1052679972287659,0.23810809457923113,0.9267199689029045,,,
trans_1D_T4,0.9110665767650973,0.1821319445229692,0.09343726784837596,0.0795957194046364,0.07847062936152537,0.0936605001772269,0.06674042539473977,0.10719292030266088,0.2395599496121671,0.9001033443163722,0.8636763288332336,,
trans_2D_TCTC,0.31135004755442447,0.41399645808678137,0.28657000419218187,0.154097375071567,0.28895342608883173,0.18230320221860974,0.02540632443038931,0.08502452077596886,0.09335520366043537,0.315645600548605,0.30906298943020855,0.34492432804206374,
trans_2D_TCTCTCTC,0.2509440429251204,0.45218202340192293,0.4089688639886693,0.14302195954195762,0.3531480634212873,0.09670176189193169,0.0219442656849295,0.10010950974807173,0.09044827109922048,0.25964915096841845,0.24868250841584014,0.2947871265193062,0.6332674440024961
