noise_level,lasso_full,boosting,MLP_global,MLP_2D,trans_1D_T4,trans_2D_TCTC,trans_2D_TCTCTCTC,max_linear_corr
correl0.01,0.015495448889983044,0.008794182173650597,0.03722347495136924,0.0365190773352337,0.04037127995289989,0.014070648850435512,0.024311931590901205,0.07056967961720458
correl0.03,0.015862310634830987,0.021159522965333372,0.09613035770273587,0.09454747286382549,0.09522171832264763,0.07954171970185357,0.08646505578308698,0.20841375539127313
correl0.05,0.07389149559105805,0.04888988873958016,0.16189536942553312,0.17835384212210037,0.17775581210411198,0.07947443868070778,0.0188986608687788,0.337099931231621
correl0.1,0.1770218336630671,0.0916184949486897,0.32112444032194226,0.34542361526448967,0.35642222262683504,0.6102379482749791,0.09951488145924514,0.5976143046671968
correl0.3,0.31137481146726737,0.20210620853651307,0.7044705912863535,0.7451004391905469,0.7847578342926562,0.9699876066533214,0.9771912882006489,0.9890707100936805
